pcgs_id,coin_name,kind,score,year,source
1211201851,西藏银币十两,XF,45,1950,coindata
1211201857,袁世凯像壹圆,XF,45,1921,coindata
1211201859,袁世凯像壹圆,XF,45,1914,coindata
1211201863,袁世凯像壹圆,XF,45,1914,coindata
1211201865,袁世凯像壹圆,XF,45,1921,coindata
1211201879,袁世凯像壹圆,XF,45,1921,coindata
1211201881,袁世凯像壹圆,XF,45,1914,coindata
1211201883,袁世凯像壹圆,XF,45,1914,coindata
1211201885,袁世凯像壹圆,XF,45,1914,coindata
1211201887,袁世凯像壹圆,XF,45,1914,coindata
1211201889,袁世凯像壹圆,XF,45,1914,coindata
1211201891,袁世凯像壹圆,XF,45,1914,coindata
1211201893,袁世凯像壹圆,XF,45,1914,coindata
1211201895,袁世凯像壹圆,XF,45,1914,coindata
1211201897,袁世凯像壹圆,XF,45,1914,coindata
1211201899,袁世凯像壹圆,XF,45,1914,coindata
1211201901,袁世凯像壹圆,XF,45,1914,coindata
1211201903,袁世凯像壹圆,XF,45,1914,coindata
1211201905,袁世凯像壹圆,XF,45,1914,coindata
1211201907,袁世凯像壹圆,XF,45,1914,coindata
1211201909,袁世凯像壹圆,XF,45,1914,coindata
1211201911,袁世凯像壹圆,XF,45,1914,coindata
1211201913,袁世凯像壹圆,XF,45,1914,coindata
1211201919,造币总厂一圆,XF,45,1908,coindata
1211201943,福建省造二角,XF,45,1928,coindata
1211201949,袁世凯像壹圆,XF,45,1914,coindata
1211201955,袁世凯像壹圆,XF,45,1920,coindata
1211202289,开国纪念壹圆,XF,45,1927,coindata
1211202291,唐继尧像半圆,XF,45,1919,coindata
1211202295,袁世凯像壹圆,XF,45,1914,coindata
1211202297,袁世凯像壹圆,XF,45,1914,coindata
1211202299,袁世凯像壹圆,XF,45,1914,coindata
1211202301,袁世凯像壹圆,XF,45,1914,coindata
1211202303,袁世凯像壹圆,XF,45,1914,coindata
1211202305,袁世凯像壹圆,XF,45,1914,coindata
1211202307,袁世凯像壹圆,XF,45,1914,coindata
1211202309,袁世凯像壹圆,XF,45,1914,coindata
1211202311,袁世凯像壹圆,XF,45,1914,coindata
1211202313,袁世凯像壹圆,XF,45,1921,coindata
1211202337,袁世凯像壹圆,XF,45,1914,coindata
1211202339,袁世凯像壹圆,XF,45,1921,coindata
1211202345,云南省造半圆,XF,45,1911,coindata
1211202651,袁世凯像壹圆,XF,45,1914,coindata
1211202873,袁世凯像中圆,XF,45,1914,coindata
1211203293,开国纪念壹圆,XF,45,1927,coindata
1211203305,袁世凯像壹圆,XF,45,1914,coindata
1211203493,袁世凯像壹圆,XF,45,1914,coindata
1211204021,北洋局造一圆,XF,45,1908,coindata
1211204099,开国纪念壹圆,XF,45,1927,coindata
1211204127,袁世凯像壹圆,XF,45,1914,coindata
1211204137,云南省造贰角,XF,45,1949,coindata
1211204143,云南省造半圆,XF,45,1932,coindata
1211204165,四川银币壹圆,XF,45,1912,coindata
1211204167,四川银币壹圆,XF,45,1912,coindata
1211204169,四川银币壹圆,XF,45,1912,coindata
1211204267,云南省造半圆,XF,45,1932,coindata
1211204269,云南省造半圆,XF,45,1932,coindata
1211204271,云南省造半圆,XF,45,1932,coindata
1211204319,袁世凯像壹圆,XF,45,1914,coindata
1211204321,袁世凯像壹圆,XF,45,1914,coindata
1211204323,孙中山像壹圆,XF,45,1934,coindata
1211204325,孙中山像壹圆,XF,45,1934,coindata
1211204327,孙中山像壹圆,XF,45,1934,coindata
1211204329,孙中山像壹圆,XF,45,1934,coindata
1211204331,袁世凯像壹圆,XF,45,1920,coindata
1211204335,袁世凯像壹圆,XF,45,1914,coindata
1211204375,袁世凯像壹圆,XF,45,1914,coindata
1211204407,袁世凯像壹圆,XF,45,1920,coindata
1211204431,袁世凯像壹圆,XF,45,1914,coindata
1211204433,袁世凯像壹圆,XF,45,1914,coindata
1211204435,袁世凯像壹圆,XF,45,1914,coindata
1211204439,开国纪念壹圆,XF,45,1927,coindata
1211204517,袁世凯像壹圆,XF,45,1914,coindata
1211204521,北洋局造一圆,XF,45,1908,coindata
1211204529,大清银币壹圆,XF,45,1911,coindata
1211204551,西藏银币十两,XF,45,1949,coindata
1211204633,北洋局造一圆,XF,45,1908,coindata
1211204731,袁世凯像壹圆,XF,45,1914,coindata
1211204733,袁世凯像壹圆,XF,45,1914,coindata
1211204737,袁世凯像壹圆,XF,45,1920,coindata
1211204751,袁世凯像壹圆,XF,45,1914,coindata
1211204755,云南省造贰角,XF,45,1932,coindata
1211204757,云南省造贰角,XF,45,1932,coindata
1211204973,袁世凯像壹圆,XF,45,1914,coindata
1211204981,袁世凯像壹角,XF,45,1914,coindata
1211205805,四川省造卢比,XF,45,1930,coindata
1211205821,袁世凯像壹圆,XF,45,1920,coindata
1211205823,袁世凯像壹圆,XF,45,1920,coindata
1211205825,袁世凯像壹圆,XF,45,1914,coindata
1211205827,袁世凯像壹圆,XF,45,1914,coindata
1211205829,袁世凯像壹圆,XF,45,1914,coindata
1211205831,袁世凯像壹圆,XF,45,1914,coindata
1211205861,袁世凯像贰角,XF,45,1916,coindata
1211205863,袁世凯像壹圆,XF,45,1914,coindata
1211205887,袁世凯像壹圆,XF,45,1914,coindata
1211205889,袁世凯像壹圆,XF,45,1914,coindata
1211206135,云南省造半圆,XF,45,1911,coindata
1211206137,云南省造半圆,XF,45,1911,coindata
1211206141,云南省造半圆,XF,45,1911,coindata
1211206159,云南省造半圆,XF,45,1911,coindata
1211206161,云南省造半圆,XF,45,1911,coindata
1211206169,云南省造半圆,XF,45,1911,coindata
1211206175,云南省造半圆,XF,45,1911,coindata
1211206183,云南省造半圆,XF,45,1911,coindata
1211206187,云南省造半圆,XF,45,1911,coindata
1211206191,云南省造半圆,XF,45,1911,coindata
1211206197,云南省造半圆,XF,45,1911,coindata
1211206199,云南省造半圆,XF,45,1911,coindata
1211206205,云南省造半圆,XF,45,1911,coindata
1211206215,云南省造半圆,XF,45,1911,coindata
1211206217,云南省造半圆,XF,45,1911,coindata
1211206229,云南省造半圆,XF,45,1911,coindata
1211206231,云南省造半圆,XF,45,1911,coindata
1211206235,云南省造半圆,XF,45,1911,coindata
1211206237,开国纪念壹圆,XF,45,1927,coindata
1211206241,袁世凯像壹圆,XF,45,1921,coindata
1211206243,袁世凯像壹圆,XF,45,1914,coindata
1211206245,袁世凯像壹圆,XF,45,1914,coindata
1211206351,大清银币壹圆,XF,45,1911,coindata
1211206533,广东省造贰毫,XF,45,1922,coindata
1211206535,广东省造贰毫,XF,45,1922,coindata
1211206537,广东省造贰毫,XF,45,1922,coindata
1211206539,广东省造贰毫,XF,45,1922,coindata
1211206541,广东省造贰毫,XF,45,1922,coindata
1211206543,广东省造贰毫,XF,45,1922,coindata
1211206545,广东省造贰毫,XF,45,1921,coindata
1211206547,广东省造贰毫,XF,45,1921,coindata
1211206549,广东省造贰毫,XF,45,1921,coindata
1211206551,广东省造贰毫,XF,45,1921,coindata
1211206553,广东省造贰毫,XF,45,1920,coindata
1211206555,广东省造贰毫,XF,45,1920,coindata
1211206557,广东省造贰毫,XF,45,1920,coindata
1211206559,广东省造贰毫,XF,45,1920,coindata
1211206561,广东省造贰毫,XF,45,1920,coindata
1211206563,广东省造贰毫,XF,45,1920,coindata
1211206565,广东省造贰毫,XF,45,1920,coindata
1211206567,广东省造贰毫,XF,45,1920,coindata
1211206569,广东省造贰毫,XF,45,1920,coindata
1211206571,广东省造贰毫,XF,45,1920,coindata
1211206573,广东省造贰毫,XF,45,1920,coindata
1211206575,广东省造贰毫,XF,45,1919,coindata
1211206577,广东省造贰毫,XF,45,1919,coindata
1211206733,北洋局造一圆,XF,45,1908,coindata
1211206737,袁世凯像壹圆,XF,45,1914,coindata
1211206741,江南省造二角,XF,45,1898,coindata
1211206745,新疆喀造伍钱,XF,45,1904,coindata
1211206955,孙中山像壹圆,XF,45,1934,coindata
1211206971,袁世凯像壹圆,XF,45,1914,coindata
1211206973,大清银币壹圆,XF,45,1911,coindata
1211207217,唐继尧像半圆,XF,45,1919,coindata
1211207237,袁世凯像壹圆,XF,45,1914,coindata
1211207241,袁世凯像壹圆,XF,45,1914,coindata
1211207247,袁世凯像壹圆,XF,45,1919,coindata
1211207257,开国纪念壹圆,XF,45,1927,coindata
