1211201851	西藏银币十两	0.jpg	1.jpg	XF	45	1950
1211201857	袁世凯像壹圆	2.jpg	3.jpg	XF	45	1921
1211201859	袁世凯像壹圆	4.jpg	5.jpg	XF	45	1914
1211201863	袁世凯像壹圆	6.jpg	7.jpg	XF	45	1914
1211201865	袁世凯像壹圆	8.jpg	9.jpg	XF	45	1921
1211201879	袁世凯像壹圆	10.jpg	11.jpg	XF	45	1921
1211201881	袁世凯像壹圆	12.jpg	13.jpg	XF	45	1914
1211201883	袁世凯像壹圆	14.jpg	15.jpg	XF	45	1914
1211201885	袁世凯像壹圆	16.jpg	17.jpg	XF	45	1914
1211201887	袁世凯像壹圆	18.jpg	19.jpg	XF	45	1914
1211201891	袁世凯像壹圆	20.jpg	21.jpg	XF	45	1914
1211201893	袁世凯像壹圆	22.jpg	23.jpg	XF	45	1914
1211201895	袁世凯像壹圆	24.jpg	25.jpg	XF	45	1914
1211201897	袁世凯像壹圆	26.jpg	27.jpg	XF	45	1914
1211201899	袁世凯像壹圆	28.jpg	29.jpg	XF	45	1914
1211201901	袁世凯像壹圆	30.jpg	31.jpg	XF	45	1914
1211201903	袁世凯像壹圆	32.jpg	33.jpg	XF	45	1914
1211201905	袁世凯像壹圆	34.jpg	35.jpg	XF	45	1914
1211201907	袁世凯像壹圆	36.jpg	37.jpg	XF	45	1914
1211201909	袁世凯像壹圆	38.jpg	39.jpg	XF	45	1914
1211201911	袁世凯像壹圆	40.jpg	41.jpg	XF	45	1914
1211201913	袁世凯像壹圆	42.jpg	43.jpg	XF	45	1914
1211201919	造币总厂一圆	44.jpg	45.jpg	XF	45	1908
1211201943	福建省造二角	46.jpg	47.jpg	XF	45	1928
1211201949	袁世凯像壹圆	48.jpg	49.jpg	XF	45	1914
1211201955	袁世凯像壹圆	50.jpg	51.jpg	XF	45	1920
1211202289	开国纪念壹圆	52.jpg	53.jpg	XF	45	1927
1211202291	唐继尧像半圆	54.jpg	55.jpg	XF	45	1919
1211202297	袁世凯像壹圆	56.jpg	57.jpg	XF	45	1914
1211202299	袁世凯像壹圆	58.jpg	59.jpg	XF	45	1914
1211202301	袁世凯像壹圆	60.jpg	61.jpg	XF	45	1914
1211202303	袁世凯像壹圆	62.jpg	63.jpg	XF	45	1914
1211202307	袁世凯像壹圆	64.jpg	65.jpg	XF	45	1914
1211202309	袁世凯像壹圆	66.jpg	67.jpg	XF	45	1914
1211202311	袁世凯像壹圆	68.jpg	69.jpg	XF	45	1914
1211202313	袁世凯像壹圆	70.jpg	71.jpg	XF	45	1921
1211202337	袁世凯像壹圆	72.jpg	73.jpg	XF	45	1914
1211202339	袁世凯像壹圆	74.jpg	75.jpg	XF	45	1921
1211202345	云南省造半圆	76.jpg	77.jpg	XF	45	1911
1211202651	袁世凯像壹圆	78.jpg	79.jpg	XF	45	1914
1211202873	袁世凯像中圆	80.jpg	81.jpg	XF	45	1914
1211203293	开国纪念壹圆	82.jpg	83.jpg	XF	45	1927
1211203305	袁世凯像壹圆	84.jpg	85.jpg	XF	45	1914
1211203493	袁世凯像壹圆	86.jpg	87.jpg	XF	45	1914
1211204021	北洋局造一圆	88.jpg	89.jpg	XF	45	1908
1211204099	开国纪念壹圆	90.jpg	91.jpg	XF	45	1927
1211204127	袁世凯像壹圆	92.jpg	93.jpg	XF	45	1914
1211204137	云南省造贰角	94.jpg	95.jpg	XF	45	1949
1211204165	四川银币壹圆	97.jpg	98.jpg	XF	45	1912
1211204167	四川银币壹圆	99.jpg	100.jpg	XF	45	1912
1211204169	四川银币壹圆	101.jpg	102.jpg	XF	45	1912
1211204267	云南省造半圆	103.jpg	104.jpg	XF	45	1932
1211204269	云南省造半圆	105.jpg	106.jpg	XF	45	1932
1211204271	云南省造半圆	107.jpg	108.jpg	XF	45	1932
1211204319	袁世凯像壹圆	109.jpg	110.jpg	XF	45	1914
1211204321	袁世凯像壹圆	111.jpg	112.jpg	XF	45	1914
1211204323	孙中山像壹圆	113.jpg	114.jpg	XF	45	1934
1211204325	孙中山像壹圆	115.jpg	116.jpg	XF	45	1934
1211204327	孙中山像壹圆	117.jpg	118.jpg	XF	45	1934
1211204329	孙中山像壹圆	119.jpg	120.jpg	XF	45	1934
1211204331	袁世凯像壹圆	121.jpg	122.jpg	XF	45	1920
1211204335	袁世凯像壹圆	123.jpg	124.jpg	XF	45	1914
1211204375	袁世凯像壹圆	125.jpg	126.jpg	XF	45	1914
1211204407	袁世凯像壹圆	127.jpg	128.jpg	XF	45	1920
1211204431	袁世凯像壹圆	129.jpg	130.jpg	XF	45	1914
1211204433	袁世凯像壹圆	131.jpg	132.jpg	XF	45	1914
1211204435	袁世凯像壹圆	133.jpg	134.jpg	XF	45	1914
1211204439	开国纪念壹圆	135.jpg	136.jpg	XF	45	1927
1211204517	袁世凯像壹圆	137.jpg	138.jpg	XF	45	1914
1211204521	北洋局造一圆	139.jpg	140.jpg	XF	45	1908
1211204529	大清银币壹圆	141.jpg	142.jpg	XF	45	1911
1211204633	北洋局造一圆	143.jpg	144.jpg	XF	45	1908
1211204731	袁世凯像壹圆	145.jpg	146.jpg	XF	45	1914
1211204733	袁世凯像壹圆	147.jpg	148.jpg	XF	45	1914
1211204737	袁世凯像壹圆	149.jpg	150.jpg	XF	45	1920
1211204751	袁世凯像壹圆	151.jpg	152.jpg	XF	45	1914
1211204755	云南省造贰角	153.jpg	154.jpg	XF	45	1932
1211204757	云南省造贰角	155.jpg	156.jpg	XF	45	1932
1211204973	袁世凯像壹圆	157.jpg	158.jpg	XF	45	1914
